Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Perhaps Love,2005,N/A,01 Dec 2005,108 min,"Drama, Musical, Romance",Peter Ho-Sun Chan,"Oi-Wah Lam, Raymond To","Takeshi Kaneshiro, Xun Zhou, Jacky Cheung","Nie Wen is a Mainland director who decides to make a film musical starring his Mainland girlfriend Sun Na and Hong Kong actor Lin Jian-dong. Unknown to him, Sun has met Lin before ten years ago when she was a cabaret singer in Beijing. The two had a relationship together then, when Lin was a film student. Ten years later, now a huge movie star, Sun refuses to acknowledge they have met before. Nie plans his musical, which includes a plot where a girl loses her memory and comes to live with a circus troupe. Sun plays the amnesiac girl and Lin her former boyfriend who tries to revive her memories. As the shooting of the movie starts, reel life and real life overlap. Lin tries desperately to win back Sun's lost love, while Nie discovers their past romance. Nie himself plays the role of the obsessive circus owner in the musical, who is involved in a love triangle. Just like in real life, he has Lin as his rival.","Mandarin, Cantonese, English","China, Malaysia, Hong Kong",32 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BOGJlZGJmMWUtNjBlNC00OGNkLWJjNjgtYmY2YmM3MTA3ZDBmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"2,756",tt0454914,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Remembrance of Things Past,2021–,N/A,19 Jul 2021,N/A,"Drama, Romance",N/A,N/A,"Yufan Bai, Yunfan Dai, Siyi Dong",N/A,Chinese,China,11 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BOTUxNjNhYTgtMDlmNC00OTJjLWI5YTQtMGY4MGZhNWVjOGFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,79,tt15175228,series,,,,,True,PELICULAS CHINAS.pdf,N/A
Spring Subway,2002,N/A,28 May 2002,93 min,"Drama, Romance",Yibai Zhang,Fendou Liu,"Le Geng, Yang Zhang, Lan Ke",A young man and a young woman have been in Beijing for seven years since they came here together to find their career. But life is pretty tough and their love is facing a crisis now.,Mandarin,China,4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BNGY0NTY0YjktNTQxZS00MGQwLWJkZWYtZjRjOGRmNmE0NDY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,465,tt0365402,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
The Trail from Xinjiang,2013,N/A,01 Aug 2013,36 min,"Documentary, Short, Biography","Dongnan Chen, Thomas Lennon",N/A,N/A,"Musa and his friends, all men, all young, all from Xinjiang Uyghur Autonomous Region on China's northwestern border, now wander great cities in the East talking, shooting up, remembering home and practicing the one true skill they have: they steal.",Mandarin,"China, United States",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTkwNDEyMjkwMl5BMl5BanBnXkFtZTgwMDgxOTkzNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,43,tt2782354,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Shower,1999,PG-13,06 Apr 2000,92 min,"Comedy, Drama",Yang Zhang,"Yang Zhang, Fendou Liu, Xin Huo","Jiayi Du, Zheng Fang, Bing He","Shenzhen businessman, Da Ming, goes home to Beijing when he thinks his father has died. He finds his father hard at work at the family's bathhouse (the false message was a ruse of Da's mentally-handicapped, exuberant brother, Er Ming, to get Da home). Da stays a couple days, observing his father being social director, marriage counselor, and dispute mediator for his customers and a boon companion to Er. Da is caught between worlds: the decaying district of his childhood and the booming south where he now lives with a wife who's not met his family. When Da realizes his father's health is failing and the district is slated for razing, he must take stock of family and future.","Mandarin, Italian",China,17 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BYTU0M2M3ZjUtMjRlMS00NTlhLWJlNjMtYWUyYzFjYzI5OTY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.5,"4,300",tt0215369,movie,N/A,"$1,157,764",N/A,N/A,True,PELICULAS CHINAS.pdf,
Abracadabra,2017,R,15 Sep 2017,96 min,"Comedy, Drama, Fantasy",Pablo Berger,Pablo Berger,"Maribel Verdú, Antonio de la Torre, Priscilla Delgado","Carmen is a housewife from Madrid mother of teen Toñi and married with the macho man and obsessed with soccer Carlos, which her daily life complicating due to the abusive character of Carlos. During the party after a wedding of Carmen's nephew, her cousin Pepe decides prove his abilities as showman with a hypnosis session. After Carlos mocks Pepe in front of all invited, a ghost possesses Carlos, suffering strange and radical changes of attitudes and behaviors. Meeting with Pepe, Carmen looking for answers to discover what's happening. Helped by Prof. Fumetti, Pepe's mentor, Carmen realizes that Carlos is possessed by the spirit of Tito, a schizophrenic young man who in early 80's killed his own mother and a several assistants to a wedding party before commit suicide in the same restaurant where he worked and where Carmen's nephew celebrated his party. With time running out, Carmen and Pepe try to exorcise the evil spirit before Carlos be totally annulled by Tito, at the same time that the own Carlos starts to suffer the consequences to be under the influence of a schizophrenic ghost.",Spanish,"Spain, France, Belgium",2 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BN2VlZDc3OTUtNzU3Zi00ZDA3LThiOTYtNjQ3ZWIxNDY1ZDFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,5.7,"2,710",tt5187886,movie,N/A,"$13,975",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Art Attack,1990–2007,TV-Y7,15 Jun 1990,N/A,"Documentary, Family",N/A,N/A,"Neil Buchanan, Francis Wright, Jim Sweeney","In this series, artist Neil Buchanan presents various suggestions for kids about various neat art projects they can create with everyday items they can find at home. In addition, Buchanan has location segments where he is inspired to have a Big Art Attack where he arranges ordinary items to create giant pictures.",English,United Kingdom,Won 1 BAFTA Award1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYWI5MjhiYzgtN2MyNi00YTc3LThhOWItYWYwMGY5NWM5ZTEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"3,167",tt0313033,series,,,,,True,PELICULAS INFANTILES.pdf,20
Bee Movie,2007,PG,02 Nov 2007,91 min,"Animation, Adventure, Comedy","Simon J. Smith, Steve Hickner","Jerry Seinfeld, Spike Feresten, Barry Marder","Jerry Seinfeld, Renée Zellweger, Matthew Broderick","When the bee Barry B. Benson (Jerry Seinfeld) graduates from college, he finds that he will have only one job for his entire life, and absolutely disappointed, he joins the team responsible for bringing the honey and pollination of the flowers to visit the world outside the hive. Once in Manhattan, he is saved by florist Vanessa Bloome (Renée Zellweger) and he breaks the bee law to thank Vanessa. They become friends and Barry discovers that humans exploit bees to sell the honey they produce. Barry decides to sue the human race, with destructive consequences to nature.",English,United States,1 win & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMjE1MDYxOTA4MF5BMl5BanBnXkFtZTcwMDE0MDUzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.1,"195,239",tt0389790,movie,N/A,"$126,631,277",N/A,N/A,True,PELICULAS INFANTILES.pdf,
The Boxtrolls,2014,PG,26 Sep 2014,96 min,"Animation, Adventure, Comedy","Graham Annable, Anthony Stacchi","Irena Brignull, Adam Pava, Alan Snow","Ben Kingsley, Jared Harris, Nick Frost","THE BOXTROLLS are a community of quirky, mischievous creatures who have lovingly raised an orphaned human boy named Eggs in the amazing cavernous home they've built beneath the streets of a city called Cheesebridge. The story is about a young orphaned boy raised by underground cave-dwelling trash collectors who tries to save his friends from an evil exterminator, the town's villain, Archibald Snatcher. When Snatcher comes up with a plot to get rid of the Boxtrolls. Eggs decides to venture above ground and ""into the light,"" where he meets and teams up with fabulously feisty Winnie. Together, they devise a daring plan to save The BoxTrolls family. The film is based upon the children's novel 'Here Be Monsters' by Alan Snow.",English,"United States, Canada",Nominated for 1 Oscar. 8 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.8,"64,639",tt0787474,movie,N/A,"$50,837,305",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Who Cares,1971,Not Rated,N/A,17 min,Short,Nick Broomfield,Nick Broomfield,N/A,Documentarian Nick Broomfield examines the problems of slum demolition and the removal of residents to new housing blocks.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMjE0MDg5MDUzNl5BMl5BanBnXkFtZTgwMjAzNzM0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,69,tt0147703,movie,N/A,N/A,N/A,N/A,True,PELICULAS CHINAS.pdf,
Cars,2006,G,09 Jun 2006,116 min,"Animation, Adventure, Comedy","John Lasseter, Joe Ranft","Dan Fogelman, John Lasseter, Joe Ranft","Owen Wilson, Bonnie Hunt, Paul Newman","While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.","English, Italian, Japanese, Yiddish",United States,Nominated for 2 Oscars. 28 wins & 34 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.3,"528,959",tt0317219,movie,N/A,"$244,082,982",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Chicken Little,2005,G,04 Nov 2005,81 min,"Animation, Adventure, Comedy",Mark Dindal,"Mark Dindal, Mark Kennedy, Steve Bencich","Zach Braff, Joan Cusack, Garry Marshall","Ridiculed by the animal inhabitants of the peaceful Oakey Oaks community for his absurd notion that the sky is falling, the well-meaning young chicken, Chicken Little, promises to prove everyone wrong. However, one year later, there's still nothing on the horizon to justify Little's fears, when, out of the blue, the humiliated boy finally stumbles upon a real piece of evidence. Is Chicken Little and his loyal band of outcasts really on to something big this time?",English,United States,4 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3MTIzMDQxMV5BMl5BanBnXkFtZTYwNTE0Mjg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.7,"106,831",tt0371606,movie,N/A,"$135,386,665",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Chicken Run,2000,G,23 Jun 2000,84 min,"Animation, Adventure, Comedy","Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick","Mel Gibson, Julia Sawalha, Phil Daniels","Having been hopelessly repressed and facing eventual certain death at the chicken farm where they are held, Rocky the rooster and Ginger the chicken decide to rebel against the evil Mr. and Ms. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",English,"United Kingdom, France, United States",Nominated for 2 BAFTA 24 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BZGViZmJjMTQtNDk3NC00NjQ4LTg0ODItYWI3MjY3YmUwMjczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.1,"223,786",tt0120630,movie,N/A,"$107,071,709",N/A,N/A,True,PELICULAS INFANTILES.pdf,
How to Train Your Dragon 2,2014,PG,13 Jun 2014,102 min,"Animation, Action, Adventure",Dean DeBlois,"Dean DeBlois, Cressida Cowell","Jay Baruchel, Cate Blanchett, Gerard Butler","It's been five years since Hiccup and Toothless successfully united dragons and vikings on the island of Berk. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Now, Hiccup and Toothless must unite to stand up for what they believe while recognizing that only together do they have the power to change the future of both men and dragons.",English,"United States, India",Nominated for 1 Oscar. 15 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.8,"398,152",tt1646971,movie,N/A,"$177,002,924",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Coraline,2009,PG,06 Feb 2009,100 min,"Animation, Drama, Family",Henry Selick,"Henry Selick, Neil Gaiman","Dakota Fanning, Teri Hatcher, John Hodgman","When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.","English, Russian",United States,Nominated for 1 Oscar. 8 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.8,"297,596",tt0327597,movie,N/A,"$116,896,576",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Creature Comforts,1989,TV-G,16 Nov 1990,5 min,"Animation, Short, Comedy",Nick Park,Nick Park,Julie Sedgewick,"Off camera, with her microphone in view, an interviewer asks creatures at the zoo to talk about how they like their accommodations, what's good and what's bad, and what they miss about their old land. The animals interviewed include a family of polar bears - the youngest of whom likes it there, a large Brazilian cat (who misses the space and the heat of the Amazon), an ape who's a bit bored, a lemur, a turtle who reads for escape, and a chicken who compares her life favorably to the lives of her sisters in the circus. They talk about what they eat, their cramped and smelly quarters, and the technology of zoo life. They're thoughtful, philosophical, and reasoned.",English,United Kingdom,Won 1 Oscar. 6 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZjFjMDhkOTgtY2VlYi00Mzc4LWIzMDItMGVmMzhiNTc5NzJkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,7.7,"6,963",tt0099317,movie,N/A,"$112,175",N/A,N/A,True,PELICULAS INFANTILES.pdf,
The Tale of Despereaux,2008,G,19 Dec 2008,93 min,"Animation, Adventure, Comedy","Sam Fell, Robert Stevenhagen","Kate DiCamillo, Gary Ross, Will McRobb","Matthew Broderick, Emma Watson, Dustin Hoffman","The tale of three unlikely heroes - a misfit mouse who prefers reading books to eating them, an unhappy rat who schemes to leave the darkness of the dungeon, and a bumbling servant girl with cauliflower ears - whose fates are intertwined with that of the castle's princess.",English,"United Kingdom, United States",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0MTc5MTc1MV5BMl5BanBnXkFtZTcwNjgwNDE4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.1,"40,743",tt0420238,movie,N/A,"$50,877,145",N/A,N/A,True,PELICULAS INFANTILES.pdf,
"The Dark Crystal: The Magic, Myth, and the Henson Legacy",2018,N/A,06 Mar 2018,N/A,"Documentary, Short",Jeffrey Lerner,Jeffrey Lerner,"Brian Froud, Toby Froud, Jim Henson, Lisa Henson",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt8598444,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Dinosaurio,2013,N/A,15 Jul 2013,12 min,"Short, Comedy",Miguel Sánchez Marín,Miguel Sánchez Marín,"Yeray del Cerro, David Ramírez, Cristina Rodríguez","This is the story of Mario, a ten-year-old boy who locks himself in his room all day playing with his dinosaur dolls. But his father Herman does not see a favorable attitude towards his child. One day Herman is going to run with h...",Spanish,Spain,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDc0NTVkMzMtODBkMC00NjI2LWI4YmQtNzhkNzJkNzFlNTU0XkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,6,tt3022046,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frank,2014,R,05 Sep 2014,95 min,"Comedy, Drama, Music",Lenny Abrahamson,"Jon Ronson, Peter Straughan","Michael Fassbender, Domhnall Gleeson, Maggie Gyllenhaal","Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.","English, French, German","Ireland, United Kingdom",13 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMjM0OTczMTcxOV5BMl5BanBnXkFtZTgwMDU1MDUwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.9,"83,456",tt1605717,movie,N/A,"$645,186",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frankenweenie,2012,PG,05 Oct 2012,87 min,"Animation, Comedy, Drama",Tim Burton,"Leonard Ripps, Tim Burton, John August","Winona Ryder, Catherine O'Hara, Martin Short","When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been.",English,"United States, United Kingdom",Nominated for 1 Oscar. 12 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BYjNjOThlZTctMjNmNy00YjdmLTgwOTYtMzg1N2VmNmMyOTBlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"125,518",tt1142977,movie,N/A,"$35,291,068",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frozen,2013,PG,27 Nov 2013,102 min,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff","Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven and sets off on an epic journey to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Elsa looks poised, regal and reserved, but in reality she lives in fear as she wrestles with a mighty secret: she was born with the power to create ice and snow. It's a beautiful ability, but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna, Elsa has isolated herself, spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic, accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one, not even her sister, can help her.",English,United States,Won 2 Oscars. 83 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"708,011",tt2294629,movie,N/A,"$400,953,009",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Gasper,2018,N/A,N/A,N/A,"Drama, Thriller",Luca Tornatore,Luca Tornatore,"Alberto Basaluzzo, Sylvia De Fanti, Antonio Giancarlo Zavatteri",N/A,Italian,Italy,N/A,N/A,[],N/A,N/A,N/A,tt7234842,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hansel y Gretel,1969,N/A,N/A,36 min,Short,Manuel Gutiérrez Aragón,"Jacob Grimm (story), Wilhelm Grimm (story), Manuel Gutiérrez Aragón","Mari Carmen Cruz, Ricardo Palacios, María Rus",N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0157731,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hello Kitty,2028,N/A,N/A,N/A,"Animation, Adventure, Comedy",N/A,"Lindsey Anderson Beer, Yuko Shimizu",N/A,N/A,English,"United States, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMDY3NWRjYzItNmI1MC00OTFlLWIwMWMtMTFhYzg4MTY3ZjVlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt38796554,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Heidi,2015,N/A,25 Oct 2016,111 min,"Drama, Family",Alain Gsponer,"Petra Biondina Volpe, Johanna Spyri","Anuk Steffen, Anna Schinz, Lilian Naef","Heidi is an eight-year-old Swiss orphan whose aunt hands her off to her mountain-dwelling grandfather, then returns and takes her to live in the wealthy Sesemann household in Frankfurt, Germany as a companion to Klara, a sheltered, disabled girl in a wheelchair. Heidi is unhappy but makes the best of the situation, always longing for her grandfather.","German, Swiss German, Afrikaans","Germany, Switzerland, France",4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZDBjZjY0ZjMtNGFlNi00YWRmLThkYjUtY2Q3YmFlMmJkYzI5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"8,220",tt3700392,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
High School Musical: El Desafío,2008,N/A,05 Sep 2008,103 min,"Comedy, Drama, Family",Eduardo Ripari,"Pablo Lago, Susana Cardozo, Flavio González Mello","Cristóbal Orellana, Mariana Magaña, Mar Contreras","No matter who you are, we've all come to know and love one DCOM. You guessed it; High School Musical! But there was only the American version. Now introducing Viva High School Musical! Follow this adventure with Jorge and his frie...",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzkxNjU2NTMtMzI1NS00MGI0LWEyNWYtZjRmZDZlNGVlY2Q3XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt35580689,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hotel Transylvania,2012,PG,28 Sep 2012,91 min,"Animation, Comedy, Family",Genndy Tartakovsky,"Peter Baynham, Robert Smigel, Todd Durham","Adam Sandler, Kevin James, Andy Samberg","In 1895, Dracula builds a resort in Transylvania, hidden from the humans, to raise his beloved daughter Mavis in a safe environment. In the present, the place is the Hotel Transylvania, where monsters bring their families to vacation far from the frightening humans. Dracula invites his friends - Frankenstein and his wife Eunice; Wayne and Wanda, the werewolves; Griffin, the invisible man; Murray, the mummy; Bigfoot, among others - to celebrate the 118th birthday of Mavis. When the party is ready to start, the 21-year-old Jonathan is walking through the forest and stumbles upon the hotel. Dracula sees Jonathan and disguises him as a monster to hide Jonathan from the guests. But Mavis also sees Jonathan and Dracula forces him to pose as a monster. Soon Mavis believes that Jonathan is the ""zing"" of her life despite the advice of her father about humans.",English,"United States, Canada",2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.0,"309,621",tt0837562,movie,N/A,"$148,426,305",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Kung Fu Panda 3,2016,PG,29 Jan 2016,95 min,"Animation, Action, Adventure","Alessandro Carloni, Jennifer Yuh Nelson","Jonathan Aibel, Glenn Berger, Ethan Reiff","Jack Black, Bryan Cranston, Dustin Hoffman","When Po's long-lost panda father suddenly reappears, the reunited duo travels to a secret panda paradise to meet scores of hilarious new panda characters. But when the supernatural villain Kai begins to sweep across China defeating all the kung fu masters, Po must do the impossible-learn to train a village full of his fun-loving, clumsy brethren to become the ultimate band of Kung Fu Pandas.",English,"United States, China",1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyNzgxNjg2M15BMl5BanBnXkFtZTgwMTY1NDI1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"215,526",tt2267968,movie,N/A,"$143,528,619",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Laberinto,2020,N/A,09 Oct 2020,18 min,"Short, Drama, Thriller",Piter Moreira,Piter Moreira,"Anaclara Ferreyra Palfy, Rafael Soliwoda","Juan imagines Laura being suffocated and becomes obsessed with those images that become more frequent and more real, to a point of no return.",Spanish,Uruguay,2 nominations,https://m.media-amazon.com/images/M/MV5BZDAxMjhmOWMtNzMwYi00OTMwLWExNWEtOTdlZmU5ZDg2NTJlXkEyXkFqcGdeQXVyMTE5Mzc2MjY0._V1_SX300.jpg,[],N/A,N/A,N/A,tt11038266,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Baby Einstein,1997–,TV-Y,31 Jan 1997,N/A,Family,N/A,Julie Aigner-Clark,"Julie Aigner-Clark, Dave Privett, June Privett","TV Videos aimed at preschoolers. A Highly-Integrated cast of children interact with puppets and toys, often adding classical music.","English, Spanish, French, German, Chinese, Hebrew","United States, United Kingdom, Canada, Australia",N/A,https://m.media-amazon.com/images/M/MV5BYTU0MWQzMTQtODU3MC00NGZmLThiOWMtZTEyOTM3NzMwMjlhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,93,tt9808494,series,,,,,True,PELICULAS INFANTILES.pdf,6
